ID,Place,First Collection Date,Collection ID,Details
U0001,Establecimiento Motta,18/9/17,C0001,Ciperacea
U0002,Establecimiento Motta,18/9/17,C0001,Trebol
U0003,Establecimiento Motta,18/9/17,C0001,Junco
U0004,Establecimiento Motta,18/9/17,C0001,Andropogon
U0005,Establecimiento Motta,18/9/17,C0001,
U0006,Establecimiento Motta,18/9/17,C0001,
U0007,Establecimiento Motta,18/9/17,C0001,
U0008,Establecimiento Motta,18/9/17,C0001,
U0009,Establecimiento Motta,18/9/17,C0001,Plumerillo
U0010,Establecimiento Motta,18/9/17,C0001,
U0011,Establecimiento Motta,18/9/17,C0001,
U0012,Establecimiento Motta,18/9/17,C0001,